# mag_r,classifiction_eff,detection_eff,eff_star
1.983333333333333570e+01,9.916666666666666963e-01,9.958506224066390189e-01,9.875518672199170567e-01
1.994444444444444287e+01,9.952606635071089558e-01,1.000000000000000000e+00,9.952606635071089558e-01
2.005555555555555713e+01,9.915254237288135819e-01,9.957805907172996296e-01,9.873417721518987777e-01
2.016666666666666430e+01,9.820788530465950350e-01,9.964285714285714413e-01,9.785714285714285365e-01
2.027777777777777857e+01,9.923954372623574605e-01,1.000000000000000000e+00,9.923954372623574605e-01
2.038888888888888573e+01,9.964028776978417490e-01,9.928571428571428825e-01,9.892857142857143238e-01
2.050000000000000000e+01,9.854014598540146164e-01,9.963636363636363402e-01,9.818181818181818121e-01
2.061111111111111072e+01,9.661654135338345606e-01,9.962546816479400658e-01,9.625468164794007686e-01
2.072222222222222143e+01,9.769736842105263275e-01,9.967213114754098768e-01,9.737704918032786816e-01
2.083333333333333570e+01,9.797979797979797789e-01,9.899999999999999911e-01,9.699999999999999734e-01
2.094444444444444287e+01,9.864406779661016866e-01,9.966216216216216006e-01,9.831081081081081141e-01
2.105555555555555713e+01,9.761904761904761640e-01,9.970326409495549047e-01,9.732937685459940313e-01
2.116666666666666430e+01,9.702970297029702706e-01,9.967105263157894912e-01,9.671052631578946901e-01
2.127777777777777857e+01,9.737609329446064166e-01,9.942028985507246341e-01,9.681159420289855433e-01
2.138888888888888573e+01,9.770773638968481833e-01,9.914772727272727071e-01,9.687500000000000000e-01
2.150000000000000000e+01,9.731182795698924970e-01,1.000000000000000000e+00,9.731182795698924970e-01
2.161111111111111072e+01,9.624664879356568115e-01,9.893899204244032131e-01,9.522546419098143478e-01
2.172222222222222143e+01,9.683908045977011048e-01,9.971346704871060229e-01,9.656160458452721640e-01
2.183333333333333570e+01,9.596774193548387455e-01,9.946524064171122781e-01,9.545454545454545858e-01
2.194444444444444287e+01,9.327956989247311315e-01,9.919999999999999929e-01,9.253333333333333410e-01
2.205555555555555713e+01,9.694656488549617812e-01,9.899244332493702947e-01,9.596977329974810678e-01
2.216666666666666430e+01,9.335038363171355158e-01,9.974489795918367596e-01,9.311224489795918435e-01
2.227777777777777857e+01,9.557739557739557412e-01,9.783653846153845812e-01,9.350961538461538547e-01
2.238888888888888573e+01,9.378109452736318463e-01,9.877149877149876689e-01,9.262899262899262354e-01
2.250000000000000000e+01,9.227053140096618256e-01,9.787234042553191182e-01,9.030732860520094274e-01
2.261111111111111072e+01,9.208633093525180335e-01,9.788732394366197465e-01,9.014084507042253724e-01
2.272222222222222143e+01,9.029345372460496622e-01,9.800884955752212635e-01,8.849557522123894238e-01
2.283333333333333570e+01,8.940397350993377623e-01,9.934210526315789824e-01,8.881578947368421462e-01
2.294444444444444287e+01,8.644501278772378505e-01,9.923857868020304895e-01,8.578680203045685460e-01
2.305555555555555713e+01,8.802816901408451189e-01,9.659863945578230915e-01,8.503401360544217136e-01
2.316666666666666430e+01,8.896882494004796360e-01,9.858156028368794122e-01,8.770685579196217940e-01
2.327777777777777857e+01,8.385093167701863637e-01,9.857142857142857650e-01,8.265306122448979886e-01
